AccountNumber BranchId GroupIds
ACC06de 84 11,21,46,28,50,17,1,18,53,16,37,29,27,13,39,15,20,2,34,22
ACC0762 593 50,19,0,29,16,35,34,47,12,2,22,51,18,9,7,53,4,44,36,31,27,26
ACC0306 561 50,38,14,13,42,49,34,2,29,25,0,53,27,5,4,12,40
ACC01cd 386 26,50
ACC0367 277 53,50,25,4,54,20,14,32,48,26,27,28,6,18,42
ACC0532 411 28,24,20,50,11,7,54,25,26,36,45,53,48,43,5
ACC0268 593 10,5,40,11,0
ACC037a 58 53,24,44,20,38,47,15,30,52,51,1,35,27,48,2,33,25,12,16,6,17,11,36
ACC0323 233 35,42,41,46,11,32,16,18,13,31,4,25,6,36,28,19,20
ACC011c 584 8,10,39
ACC04d9 217 41,36,15,30,23,37,53,19
ACC0769 557 43,50,19,20,18,17,13,34,53,25,31,41,30,9,49,51
ACC038 523 22,18,24,0,47,51,19,21,23,20,30,31,28,32
ACC0636 117 42,54,33,32,37,53,9,38,7,13,31,16,4
ACC07cf 564 9
ACC016e 37 30,15,20,45,28,39,6,29,26,0,48
ACC07c5 384 27,21,34,50,54,4
ACC02c2 189 22,30,34,25,27,39,16,13,43,15
ACC026a 252 1,9,32,45,39,14,5,11,34,18,29,19,36,26,4,44,30
ACC044b 81 24,9,39,28,1,38,36,32,41,10,49
ACC0337 313 41,27,8,6,29,17,14,52,1,33,30,10,9,43,50,28,39,37,18,5,23,51,21
ACC0266 480 11,5,52,39,4,24,16,49,3,40,29,1,33,43,27,50,18,22,19,17,47
ACC04f7 422 29,11,24,26,45,15,36,17,52,34,21,31,25,54,1,37
ACC0653 511 34,6,4
ACC01ef 487 49,13,21
ACC031 167 34,53,46,43,45,12,32,9,38,49,18,4,11,7,39,54,10,15,28
ACC0538 48 40,1,5,10,52
ACC0460 280 54,19,5,46,8,49,7,13,37,4,29,43,44,23,53,20,0
ACC0448 3 49,34,29,53,17,20,54,27,21,36,4,8,28,0,45,30,43,14
ACC0c7 131 6,50,33,22,41,49,13,9,26,48,38,28,4,36,53,35,21
ACC047a 168 12,25,32,5,38,26,49,33,35,1
ACC023d 508 46,6,34,42,53,44,40,9,50,16,31,20,18,33
ACC05f4 260 14,44,13,25,21,32,26,30,36,5,46,45,23,51,1,17,33,22,10,12,6,50,3
ACC01d9 78 53,10,6,17,25,16,35
ACC03c4 151 24,52,41,35,19,23,27,54,43,29,39
ACC0421 514 24,35,43,5,21,4,38,14,20,53,52,8
ACC0677 350 25,44,28,36,31,48,42,18,9,21,40,23,26,41,13
ACC0437 278 23,47,41,26,42,1,10,40,52,17,22,50,6,18,2,30,20,36,34
ACC0781 459 29,15,52
ACC06c9 274 47,1,25,21,9,23,15,53
ACC014 214 25,42,13,21,48,52,4,8,9,5,39,45,38,47,7,26,50,54,41
ACC0774 131 15,37,47,23,34,53,38,4,36,33,43,2,21,19,32,29,0,49
ACC0305 137 4,45,10,48,8,23,11,33,13,21,30,26,42,41,17,20,32
ACC0563 447 17,11,48,24,0,38,28,33
ACC02f0 92 0,22,45,53,33,1,7,35,12,24,3,32,2,52,28,14,13,26,49,37,23
ACC025e 282 21,46,18,41,3,14,52,12,53,2,42,11,22
ACC0598 476 22,11,48,43,53,6,9,24,36,42,54,3,31,51,45,13,20,5,40,16,26,33,23,37
ACC0457 366 38,36,29,44,23,43,46,6,42,2,49,33,8,31,20
ACC06e0 451 47,44,35,20,22,42,0,37,46,16,26,45,38,11,50,17,36,21,15,40
ACC04d2 464 30,10,13,47,19,20,49,15,52,1
ACC0689 404 53,2,8,22,42,43,14,21,49,45
ACC0389 311 48,21,45,27,10,24,41
ACC0639 328 28,26,30,18,4,46,52,47,12,8,19,14,27,40,6,34,0,10,29,48,3,17,24
ACC0546 9 45,20,46,5,35,39,23,26,12,14,54,21,38,22,16,17,3,18,31,36,51,48,49
ACC041c 432 35,50,41,7,20,30
ACC0333 373 8,52,15,30,46,19,38,16,24,5,34,39,13,6,25,31,50,2,32,36,37,40,20,53
ACC0172 484 23,1,10,37,11,43,48,50,38,54,7,19,42,31,29
ACC0156 370 35,41,2
ACC01aa 415 21,27,51,32,30,1,52,5,12,37,15,11,33,7,39,25,13,8,35,0,24
ACC0c 576 11,53,42,50,48,26,45,43,28,15,27,18,13,46,3,30
ACC07a4 450 26,3,33,16,11,43,46,10,45,5,30,27,39,50,20,7
ACC0209 201 10,23,1,33,31
ACC0673 125 10,49,20,51,46,54,50,33,53,13,26,2,43,25,3,39,1,45,30,5,18,32
ACC077a 411 1,19,48,53,43,54,33,6,49,18,28,39,15,20,22,4,7,16,25,26,37,21
ACC01fe 189 15,40,47,7,37,20,50,45,8,23,44,6,43
ACC015d 114 26,39,18,7,29,23,1,21,32,40,35,38,45,42,30,36
ACC0438 280 34,33,15,37,20,19,52,0,54
ACC0f 9 46,19,38,3,37,43,48,21,51,17,9,28
ACC05bc 499 17,46,7,19,33,37,50,1
ACC0788 516 29,16,14,30,33,38,22,46,4,52,24,27,31,12,36,37,15,5,23,39
ACC040f 216 42,24,16,33,21,15,4,18,44,35,25,11,51,13,6,8
ACC032a 204 1,23,37,47,15,44,18,9,24,3,17,54,2,42,22,10,43,33,12,7,14
ACC03c5 451 24,27,45,22,25,38,21,32,49,8,47,20,35,31,14,23,43,51,52,33,4,28
ACC023f 370 4,20,6,22
ACC01a1 91 3,35,52,21
ACC026c 199 30,28,18,9,5,42,41,25,37,3,22,45,11,19,53,43
ACC054a 444 20,44,29,41,13,19,18,34,24,45,30,11,1,4,28
ACC02e3 365 18,15,13,53,22,8,0,46,33,47,39,45,43,50,42,20,17,32,24
ACC010c 7 20,9,47,17,13,41,49,48,2,4,24,38,14,29,5,15,16
ACC0114 554 52,50,5,45,0,7,16,32,40,18,14,2,27,44,8,43,35,21,51,17
ACC02e2 200 27,41,54,11,25,40,30,32,39,36,9,17,16,53,22,35,3,46,4,31,19,51,20
ACC076a 2 48,15,21,42,50,13,34,29,25,44,10,14,53,18,0,17,39
ACC05 233 40,49,18,46,25,54,23,43,3
ACC06a 466 30,4,7,14,28,43,38,20,33,39,52,0,41,53,3,37,31,6
ACC01f6 70 41,30,40,43,13,46,24,0,21,34,33,9,7,44,19,37,6,50,49,14
ACC0634 72 7,31,29,54,42,5,1,48,37,33,32,35,50,41,38,53,25,14,34,4,3
ACC0512 298 10,2,38,54,53,45,12,25,42,33,20,36,22,21,19,5,13
ACC0228 123 27,36,34,9,8,45,52,49,39,54,10,33,35,17,47,31,18
ACC03d 479 14,32,12,50
ACC0b7 555 53,34,25,12,3,39,30,49,10,16,23,28,36,35,13,47,20,42,17,31,50,27,46
ACC01da 590 23,32,24,8,18,47,12,15,51,26,39,29,53,49,14,54,43,3,44,5,48
ACC05de 494 9,46,26,34,37,13,23,35,36,1,11
ACC0541 141 29,49,53,33,1,5,20,54,51,19,42,26,31,4,10,36,44,23,0,27
ACC0591 134 28,31,5,35,4,24,25,22,38
ACC02f1 566 54,19,51,45,53,8,44,24,34,50,12,10,36,41,14,9,46,39,16,32
ACC0ed 157 3,41,30,37,26,13,21,51,28,17,54,8,33,20,49,1,44,4,11,48,35,36,10
ACC03cc 552 4,25,38,53,7,2
ACC0623 203 34,32
ACC0754 239 49,12,48,45,53,22,27,15,16,54,26,40,17,20,38,9,1,6
ACC035a 492 34,6,17,44,39,49,4,21,27,26,42,45,31,23,30,24,38,40,51,20,8
ACC031c 575 35,33,1,27,49,2,16,23,50,31,40,12
ACC04cd 203 41,19,33,35,52,53,49,27,25,51,34,30,43,48,39,38,42,22,7
ACC06fa 221 30,0,35,36,53,16,19,13,17,34,32,37,7,44,38,52,15,49,47,8,3,24,9
ACC01c5 384 28,33,1,13,42,35,6,53,52,54,45,48,37,24,30,21,10,46,29,7,39
ACC0242 476 0,6,25
ACC07c6 312 34,10
ACC0449 576 27,32,54,31,52,38,35,7,28,10,2,30,40,33,49,43,4,53,22,29,44,15
ACC0670 122 43,8,50,46,30,51,18,44,36,45,54
ACC0257 80 15,11,44,28,38,30,36,47,20,29,41,14,35,45,48,8,21,34,16,51,46,50
ACC051f 368 28,16,35,1
ACC0258 258 31,41,38,12,54,22,8,13,5,35,11,47,19,29,2,49,52,48,0,18,6,30,39
ACC08e 142 36,51,39
ACC031e 118 11
ACC0310 359 48,37,19,17,50,18,52,5,49,3,22,44,38,8,35,16,7
ACC05b2 386 26,3,49,10,7,8,52,21,4,30,40,34,39,1
ACC036a 161 54,27,10,24,11,15,51,46,30,53,48,18,41,22,29
ACC052d 232 45,34,41,47,10,18,39,30,6
ACC06e1 255 41,46,13,12,53,35,16,28,21,32,47,10,8,36,30
ACC039c 14 2,22,3,46,9,10,23,34,39,30,26,17,27,35,21,16,7,6,32,54,38,8
ACC07b3 276 3,1,31,16,37,54,15,27,17,13,49,33,0,53,11,42,32,22,4,5,23,52,34,6
ACC0113 196 21,23,20,16,48,50,34,47,39,8,44,45,32,0,26,33,42,54,49,53,9
ACC04ac 217 20,36,19,15,39
ACC0398 211 16,29,18,17,38,12,36,19,35,6
ACC0627 47 7
ACC0624 365 35,53,12,40,18,15,23,29,43,24,17,54,30,28,5,50,33,41,25,49,10
ACC062b 58 47,54,42,9,35,13,11,33,23,32
ACC02f4 111 8,14,27,3,50,29,31,17,49,20,34,13,11,5
ACC0506 589 3,4,13,23,20,6,17,5,36
ACC02c 439 35
ACC0439 494 36,30,4,12,28
ACC0651 165 38,29,48,41,26,30,2,27
ACC0c4 58 50,31,44,11,53,4,35,2,54,18,48,40,24,26,10,7,20,14
ACC0745 370 32,27,13,46,9,36,3,39,29,52,26,42,5,11,2,12,31,21,14,24,22
ACC0491 489 10,54,45,24,7,47,13,52,49,46,30,0,26,25,15,50,14,53,43,8
ACC074e 367 34,0,43,6,8,26,10,50,52,15,47,27,16,36,28,7,49,33,20,21,19,17
ACC049e 430 22,40,35,24,26,50,21,38,27,8,33,51,3
ACC0456 210 1,39,23,28,25,47,48,6,20,11
ACC073f 165 30,38,10,24,45,51,43,17
ACC06ff 384 51,42
ACC01a3 23 4,34,50,24,54,17,52,7,3,6
ACC0380 342 32,18,50,47,30,23,3,11,52,5
ACC0734 362 47,50,15,14,35,26,2,18,42,52,44,45,12
ACC07ac 307 38,43,42,9,45,47,16,48,28,11
ACC010e 111 40,16,42,51,29,24,53,12,5,48,44,6,50,36,4,9,46,8,21
ACC042b 496 10,0,9,40,54,52,17,50,46,1,47,33,23,45,15,51
ACC0153 320 37,21,32,36,35,8,0,40,42,24,44,48,33,28,49,41,43,34,3,26,10,52,50,38
ACC044f 289 35,3,2,14,29,32,8,22,26,17,47,43,1,44,5,7,16
ACC05e3 513 17,40,32,49,51,42,4,0,29,7,21,53,54,25,16,11,35,9,2,18,23,14,8,20
ACC0290 310 43,20,38,28,27,17,31,21,34,40,48,50,25,6,47,3
ACC0fa 96 6,14,7,39,0,53,38,25,47
ACC0142 108 44,24,38
ACC01e7 105 37,54,15,39,24,10,27,8,42,23,45,35,32
ACC06ce 442 23,45,40,35,14,39,1,42,3,25,32,4,26,5
ACC02e1 240 15
ACC042 127 44,10,17,48,5,46,24,50,11,3,28,30,9,40,2,39,0,7,8,27,16,36
ACC01de 593 47,33,0,14,2,12,15,28,11,25,52
ACC0553 260 8,7,26,30,11,3,39,19,13,43,52,45,47,5,25
ACC0231 475 18,15,29,30,32,2,4
ACC06f3 373 40,3,38,2,30,0,39,15
ACC03c2 491 26,18,21,30,28,54,36,27,44
ACC020c 341 18,28,34,6,53,5,14,42,52,0,44
ACC02b0 481 15,41,42,31,48
ACC0408 578 25,29,2,7,30,0,21,51,49,40,24,33,15,28,23,13,47,19,39,37,36,52
ACC040c 15 17,43,22,4
ACC0533 184 1,21,50,32,46,47,13,49,26,20,24,10
ACC04c1 546 27,34,20,26,16,13,14,9,12,15
ACC0485 294 46,35,13,29,50,31,54,7,27
ACC04a1 290 24,52,8,6,45,7,29,40,2,27,25,51,42,15,46,10,32,17
ACC02c5 517 17,33,2
ACC033d 280 35,43,34,37,17,27,32,18,31,2,25,45,8,54,1
ACC0202 368 35,8,12,32,38,44,22,23,36,52,9,42,6,7,24,50,39,54,28,31,2
ACC01d7 105 21,27,42,44,22,13,25,41,7,0,35,10,14,23,2,34
ACC061f 352 3,32
ACC0138 23 36,44,45,10,46,15,27
ACC03a 418 3,46,32,35,12,13,26,22,39,34,15,36,33,49,20,21,19,44,14,7,23,25,10,28
ACC0362 557 41,23,54,17,25,47,49,15,3,39,28,1
ACC0190 440 24,45,23,33,48,34,53,46,8,44,20,30,49,29,47,14,32,5,7,31,3
ACC031d 402 9,8,43,44,12,37,6,16,23,0,4,29,27,41,25,21,5,15
ACC0462 202 15,29,8,20,3,14,49,28,36,23
ACC056a 370 49,40
ACC0777 528 1,14,50,7,30
ACC06b7 14 35,46,13,39,41
ACC02c9 567 35,24,7,51,22,39,38,29,32,53
ACC05c1 411 50,0,39,49,11,16,41,9,17,53,47,38,7,43,45,29,40,33,22,19,8
ACC01ea 9 35,45,48,52
ACC07cb 149 15,17,5,22,12,3,33,1,13,38,9,19,26,54,49,11,48,6,47,28,21
ACC042c 350 20,13,15,35,17,49,0,22,32,2,3,12,31,34,37,4,53,54
ACC0711 579 5,22,37,36,16,53,4,32,1,17,39,13,47,26,43,54,46
ACC02c0 69 7,11,12,25,43,1,21,45,51,0,37,33,13,54,6,28,4,47,49
ACC0285 550 37,34,35,47,36,19,40,17,45,21,33,51,50,12,48,4,54,41,2
ACC047d 12 53,19,14,22,29,42,12,38,18,26
ACC0401 425 51,16,36,50,45,52,34,31,49,7,28,25,40
ACC05fe 80 25,9,39,14
ACC0278 468 18,3,28,1,21,53
ACC0397 133 27,11,31,34,17,53
ACC0402 359 45,8,17,40,14,47
ACC0698 53 46,26,34,44,22,1
ACC055b 578 23,35,16,27,25,41,9,2,11,15,17,45,30,38
ACC073b 16 21,17,45,24,3,47,9,20,28,5,6,46,30,13,2,42,49,12,41
ACC03d3 3 4,47
ACC02ac 153 20,43,52,50,38,8,14,27,45,49,39,17
ACC0731 474 38
ACC0252 322 32,28,43,41,52,36,50,44,54,26,20,8,23,30
ACC037 46 4,19,12,20,45,5,25,13,9
ACC057e 552 14,22,18,38,23,34,15,46,5,2,41,50,32,35,11,54,7,12,26,45,47,49,8,20
ACC05b4 298 40,28,27,44,46,10,45,37,26,15,11,50,53,19,39,18,48,20,43,17,51,5
ACC04b6 287 12,31,41,26,7
ACC0214 25 37,45,16,24,5,43,9,34,38,11,32,20,29,25
ACC03f2 487 28,24
ACC0220 223 48,28,23,35,10,31,45,32,13,14
ACC038a 386 43,13,15,42,38,25,12,46,29,17,21,14,45,24,36,27,8,28,53,54
ACC04a 408 10,19,1,34,9,36,0
ACC033c 235 31,44,16,13,36,3,47,20,8,27,7,35,4
ACC074b 502 19,41,2,27,36,7,51,38,43,31,47,8,39,0,32,9,53
ACC038b 224 20,33,43,8,2,0,17,38,32,13,9,51,36,24,15,44,39,27,50,23,11,54,42,6
ACC0384 164 18,53,47,14,46,3,42,45,29,54,9,41,39,12,30,32,27,26,2
ACC07c1 134 46,1,17,41,43,22,51,11,44,20,40,13,12,18,53,54,4,27,49,28
ACC0f4 385 20,22,11,19,45,26,42,41,23,37,15,47,10,0,9,13,16,2,24,38,3,54,51
ACC03ed 371 47,20,49,9,19,29,54,38,27,53,16,25,41,44,39,10,8,52,3,14,42
ACC014e 78 12,24,5,52,10,46,28,23,19,31,21,38,40,34,49,11,39
ACC0411 10 46,47,38,2,15,0,10,11,52,42,21,26,40,7,4,1,53,25,50,16,37
ACC061d 422 0,43,7,9,10,44,33,53,54,14,31,39,22,41,46,30,47,8
ACC02a7 380 3,31,43
ACC0343 332 51,29,2,31,52,23,19,35,49,44,27
ACC03cd 250 6,32
ACC0328 221 54,49,29,47,0,15,36,22,42,19,11,14,33,23
ACC0727 373 47,18,42,30,54,40,35,31,20,49,17,48,38,21,15,23,2,5,7,36,50,37,25,29
ACC01e8 558 42,10,50
ACC0222 232 54,12,44,4,45,7,38,40
ACC0708 144 11,43,52,34,10,48
ACC06b8 353 51,0,4,13,22,39,52,14,11,24,34,30,9,44,18,42,48,25,43,28
ACC05b6 373 1,44,4,39,37,11,9,7,6,43,28,34
ACC03e4 23 43,16,25,14,52,47,20,53,9,0,31,38,44,27,36,39,29
ACC02ca 262 3,15,6,1,25,46,26,13,27,52,23,28,44,21
ACC0386 346 2,15,49,31,28,20,39,0,22,27,30,51,3,9,12,7,26,4
ACC05a7 505 37,48,50,11,34,32,17,13,10,40,15,22,41,54,12,44,51,21,7,0
ACC020b 292 21,12,22,14,50,1,10,48,52,4,17,13,34
ACC072a 555 36,2,28,8,53,44,27,1,12,43,35,9,23
ACC04ff 319 15,11,25,43,26,48,32,23,0,42,20,54
ACC0669 278 33,50,40,49,10,18,26,27,25,42,11,47,30,32,54,34,37,19,53
ACC0792 430 32,20,2
ACC07be 470 0,28,31,6,47,26,3,22,5,38,51,23
ACC0481 196 53,33,26,50,18,8,22,0,2,19,52,5,42,41,15,35,47,46
ACC01b 293 25,12,37,47,9,46,26,0,51,24,4,38,39,23,32,15,43,13,18,45,19,41,52,29
ACC06cb 254 50,46,7,11,34,42,3,9,2,6,12,5,36,8,49,13,16,28,14,38,23,27,41,35
ACC0433 290 47,11,2,18,28,36,33,42,24,26,53,39
ACC03a0 38 4,52,47,28,46,3,10,26,0,29,14,23,5,41,7,51,43
ACC039a 554 3,26,17,10,4,53,29,47,37,16,20,11,51,2,22,38,39,36,21
ACC0418 583 49,12,44,42,29
ACC02a9 298 47,37,34,33,52,11,20,6,0,9,26,3,2,17,15,44,30,18,12,40,46,22,10
ACC026 571 31,45,14,38,36,32,47,29,48,20,34,11,37,50,6
ACC05cf 402 25,32,28
ACC07c2 338 3,42,44,41,26,31,12,52,7,16,27,39,1,29,33,47,19
ACC04fa 198 43,12,26,27
ACC04a9 71 41,45,14,31,25,49,10,23,5,26,9,13,34,20
ACC07a8 374 15,17,44,38,35,13,20,36,42,25,39,18,29,11,5,34,22,30,16,32,47,49,31,45
ACC0283 168 38,52,18,16,23,7,20,33,28,34,17,40,29,41,25,45,39,37
ACC02fc 204 5,4,0,52,50,47,51,26,25,17,22,54,27,30,42,2,18,31
ACC056 416 36,52,16,14,44,49,10,42,27,24,40,53,46,4,32,29,25
ACC07c9 7 37,46,14,27,11,19,0,23,36,35,13,12,54,52
ACC0c2 505 33,31,36,53,37,48,52,24,38,6,2,29,23,40,28,5,15,8,20,27
ACC037f 476 3,41,14,31,0,2,19,10,4,16,49,34,29,25,8
ACC07bb 280 35,37
ACC01f2 36 42,30,5,8,3,41,0,2,7,35,32,11,47,22,45,40,9,46,14
ACC016b 591 21,20,23,26,40,8,13,14,4
ACC01db 547 53,34,9,21,24,1,39,14,19,30,20,48,36,33,2,54,15,49,32,16,42,18
ACC037c 476 48,50,26,53,25,2,40,31,49,42,30,27
ACC06b5 306 50,42,7,11,37,21,49,23
ACC03ae 112 36,52,23,25,35,16,18,13
ACC0292 95 12,30,35,32,3,22,28,48,15,39,40,21,18,44,37,16,38,9,49,14,47,53,19
ACC0695 584 29,54,30,43,2,19,11,44,31,4,49,40,22,24,45,51,27,8,1,53,38
ACC0127 512 40,26,12,0,46,2,13,39,10,52,16,30,48,38,45,8,50,25,1,36,42,33,23
ACC021a 127 33,52,12,35,5,40,49,7,37,1,27,30,46,25,26,14,19,50,53,38
ACC01b8 54 24,4,6,32,54,10,30,21
ACC054b 577 39,15,1,35,11,13,26,50,40
ACC03e1 339 36,18,2,27
ACC0514 119 3,9,33,54,1,5,24,35,17,22,21,52,39,14,10,47
ACC037d 496 52,24,50,51,8,7,47,38
ACC031a 255 1,52,2,28,7,49,35,27,45,11,36,38,6,42,8
ACC0300 488 0,26,19,25,53,8,43,6,38,29,21
ACC034c 589 14,36,39,38,2,47,49,17,20,4,51,18,50,9,45,43,30
ACC049a 35 6,46,2,51,24,30,9,45,35,22,15,38,32,53
ACC0122 14 6,41,23,54,38,12,21,50
ACC063b 119 20,37,43,12,10,49,2,48,0,19,5,38,50,39
ACC0759 38 29,44,31,17,33,50,41,30,18
ACC06c6 121 6,4,5,30,31,42,33,35,17,47,16
ACC0476 534 25,3,10,48,40,50,42,43,41,39,26,35,45,20
ACC0b1 556 45,43,50,35,12,15,40,22
ACC01a7 129 34,12,41,2,48,16
ACC04e2 20 0,51,1,24,35,13,17,42,45,32,31,12,7,25,36,21,11,47,46,6,50,5,22
ACC0555 220 27,43,49,24,17,26,28,42,44,40,21,20,29,39,51
ACC0ca 529 0,54,8,22,37,13,26,47,14,43,32,3,35,33,42,16,30,39,12,27
ACC0699 388 50,36,11,21
ACC0365 438 16,3,17,20,5,7,27,4,40
ACC0212 14 10,38,23,41,7,46,44,4,54,6,15,2,27,22,40,35,21,33,26
ACC0719 76 1,54,2,43,46,14,51,32,50
ACC05c6 480 45,20,13,8,50,4,21,10,31,5
ACC0246 4 41,9,48,37,54,25,47,49,8,30,27,42,17,39,1,28,6
ACC06f2 476 11,35,39,29,12,47,7,25,46,36,2,13,42,28,31,20,33,9
ACC079 438 31,27,1,24,0,14,16,47,51,49,28,23
ACC013b 478 13,41
ACC04d8 305 53,46,48,26,16
ACC0447 59 45,50,14,22,12,28,24,51,52,47,7,27,4,3,21,26,34,13
ACC05d4 101 49,3,30,51,33,16,29,28,15,9,5,25
ACC021b 243 42,52,11,25,18,0,17,33,24,34,10,5,44,51,22,28,3,31,12,35
ACC0423 414 15,35,2,11,16,0,4,24,26,8,49,54
ACC0479 354 32,52,17,41,10,27,4,12,26,50,7,18,46,54,48,3,22,24,11,30
ACC07b1 4 5,0,31,46,42,41,51,53,28,52,1,30,16,20,21,47,25,24,3,7,14,8,4,15
ACC01dd 384 53,35,49,20,44,11,1,16
ACC05ea 23 13,7,10,4,42,54,36,41,27,43,31
ACC04b8 564 52,18,17,31,21,32,26,41,5,50,0,28,2
ACC0709 308 28,8,30
ACC022 593 54,1
ACC0561 508 7,12,42,10,4,41,8,37,46,28,0,43,17,3,21
ACC048a 58 33,27,0,42,54,51,20,24,17,40,34,52,49,23,18,43
ACC0286 463 34,25,33,40,31,44,36,39,37,35
ACC072c 330 49,5,11,42,8,2,29,51,37,12,18,23,24,54,4,20,32,26
ACC05e8 361 11,5,52,13,2,3,45,46,22,47,17,9,51,12,0,49,35,18
ACC0287 532 11,34,25,17,31,43,47,42,1,3
ACC0274 353 16,51,44,49,24,28,11,40,5,41,6,34,15,22,48,52,27,30,43,1,3,25,39,26
ACC029 216 44,11,43,23,20,27,54,9,38,49,12,50,32,15,22
ACC05e2 578 37,9,22,0,3,38,50,2,31,34,48,42,35,17,45,46,24,53,8
ACC07c8 312 9,23,39,4,20,6
ACC029e 527 33,32,19
ACC0778 312 51,32,52,15,34,18,46,22,20,7,45,14,37
ACC0273 361 42,44,26,6,36,20,17,35,54,38,0,41,12,23,31,2,50,7,19
ACC0265 579 52
ACC0148 45 21,32,45,11,30,43,29,4,33,53,35,27,38,0,44,39,26,19,40,12
ACC0452 144 45
ACC0552 344 8,13,26,40,21,10,14,34,36,51,4,30,19,9,43,22,47,16,27,18
ACC0606 139 17,37,35,40
ACC0672 18 6,31
ACC050e 402 48,27,44,26
ACC02ee 255 1,9,34,47,10,27,11,21,46,24,0,18,4,37,5,49,26,32,13
ACC02e5 260 8,53,30,48,9,15,34,3,16,12,38,35,13,45,28,32,40,46,52,4,44
ACC04d0 5 15,27,24,30,53,16,8,19,43,49,51,22,44,39,45,12,17,34,5,52
ACC05dc 399 52,41,17,18,37,29,48,31,51,45,53,15,7,26,14,20,19,42
ACC0499 421 16,43,54,21,52,14,9,46,23,31,48,41,13,27
ACC0571 392 1,30,48,29,20,16,17,10,2,47,28,26,35,21,25,33,11,5,7,43,51,27,42
ACC0450 299 8,46,27,23,14,11,48,44,51,9,53,0,49,7
ACC0766 322 34,30,25,53,4,42,29,49,3,1,11,15,0,46,17,50,8
ACC0174 296 32,46,53,39,25,43,23,47,49,48,5,4,13,28,44,20,35
ACC0551 360 38,42,46,40,30,15,49,20,51,4,18,47,36,16,43,39,31,26
ACC019c 541 39,21
ACC052e 582 47,3,53,2,8,32,17,45,43,52,48,26,24,33,7,15,35,49,12,1,29,5,0
ACC072f 291 26,8,32,7
ACC059f 146 3
ACC02dd 122 44,30
ACC07 109 19,31,5,1,40,44,22,27,15,25,50,30,48,45,52,14
ACC06e2 17 13,4,39,33,22,32,28,17,46,35
ACC0597 42 53,16,49,26,12,36,37,14,7,20,17,3,22
ACC0302 221 35,1,2,7,42,44,33,41,13,29
ACC041e 439 51,24,18,48,11,19,7,21,29,37,45,15,54,42,6,9
ACC0b0 367 50,53,49,22,29,40,28,43,54,26,7
ACC06bb 501 40,44,23,5,6,7,1,19,38,28,50,0,11,36,15,33,24,12,52
ACC0253 563 10,42,54,15,23,16,30,51,37,1,45,7,41,8,50,20,2,48
ACC04c2 594 34,4,28,40,49,17
ACC013d 385 54,51,17,34,47,0,9,23
ACC01f5 22 21
ACC011e 461 48,45,42,53,54,27,19,25
ACC06ea 199 40
ACC039e 395 41,12,26,44,38,28,31,36
ACC04e7 264 17,12,24,29,1,34,50,23,5,42,9,15
ACC0f2 143 49,50,6,24,46
ACC036c 390 28,49
ACC03ff 92 48,6,3,45,4
ACC047 320 38,49,16,27,18,19,44,6,46,43,20,10,47,48,42,13,22,23,53,39
ACC06e8 208 23
ACC080 307 35,53,33,26,15,40,34,52,22,42,39,29,7,20,46,24,25,8,37,6,54,32
ACC0363 234 52,37,50,43,47,21,7,24
ACC06d3 456 54,19,52,5,7
ACC04e3 77 48,2,26,47,43,18,40
ACC0178 510 4,11,3,9,19,24,12,18,13
ACC020e 152 38,54,18,6,24,32,23,30,21,46,27
ACC0ba 170 0,28,21,19,50,34,26,37
ACC0739 505 42,50,10,20,34,26,15,41,49,51,0,44,27,17,38,22,12,1,21,18,13,6,35
ACC0208 25 28,12,11,44,1,8,6,43,31,37,54,29,2,13,30,3,4,42,23,16,36,35,5
ACC0374 3 12,42,36,15,39
ACC027a 526 1,53,2,36,33,0,25,37,12,11,48,24,42,34,29,38,15
ACC0614 234 47,7,24,33,43,36,38,22,50,32,10
ACC085 247 9,0,28,45,54,40,43,33,15,46,50,12,32,2,18,41,34,16,5,7,24,49
ACC06e4 446 24,21,48,36,35,1,32,45,29,34,40,12,47,43,0,11,10,51
ACC076d 569 1
ACC075a 395 38,10,16,15,51,40,37,44,17,39,1,43,36,45,12,46,4
ACC050f 36 0,28,2,15,50,29,26,14,20,33,39,23,9,46,6,13,11,52,51
ACC03e2 595 4,35,12,49,27,16,54,45,26,25,10,43,42,2,29,38
ACC02a8 16 45,1,2,16
ACC0589 495 20,37,8,2,39,43,30,25,52,48,27,31
ACC03f8 345 17,51,8,13,42
ACC0bb 471 3,35,28,8,12,49,18,13,33,20,50,38,17,21,37,24,4
ACC01e1 146 25,39,7,37,12,53,29,54,9,4,50,15,40,24,8,17,23,28,14,51,36,45
ACC0dc 555 41,30,21,9,22,44
ACC031b 223 18,21,20,41,45,36,37,44,14,15,28,49,0,52,26,11,24,47,6,25,3
ACC068c 410 19,17,49,38,1,4,48,30,12
ACC0632 285 36,6,4,11,28,52,33,44,39,1,27,14,5,45,40,23,19,38,24,47,22,21,9,20
ACC078b 470 23,38,7,8,44,35,26,30,0,52,47,54,46,21
ACC06b4 471 7,35,38,53,45,43,16,8,31,10,14,39,9
ACC02ed 338 37,35,16,32,38,6,48,15,54,40
ACC0559 1 28,12,15,21,27,30,9,4,10,8,5,37
ACC0ae 167 47,8,7,12,13,29,37,10,15,11
ACC07e 599 5,33,15,1,47,22,7,49,4,51,26,54,50,13,37,10,38,25,31,9,42
ACC07a9 294 53,44,24,25,13,17,40,16,42,23,14,8,50,11,41,27,21
